Radius,Budget,Half_z,Location 0,Location 1,Efficiency
10.0,0.0015,4000,9.9,9.9,0
20.0,4e-05,4000,0.005,0.005,1
60.81632653,4e-05,4000,0.005,0.005,1
101.6326531,4e-05,4000,0.005,0.005,1
142.4489796,4e-05,4000,0.005,0.005,1
183.2653061,4e-05,4000,0.005,0.005,1
224.0816327,4e-05,4000,0.005,0.005,1
264.8979592,4e-05,4000,0.005,0.005,1
305.7142857,4e-05,4000,0.005,0.005,1
346.5306122,4e-05,4000,0.005,0.005,1
387.3469388,4e-05,4000,0.005,0.005,1
428.1632653,4e-05,4000,0.005,0.005,1
468.9795918,4e-05,4000,0.005,0.005,1
509.7959184,4e-05,4000,0.005,0.005,1
550.6122449,4e-05,4000,0.005,0.005,1
591.4285714,4e-05,4000,0.005,0.005,1
632.244898,4e-05,4000,0.005,0.005,1
673.0612245,4e-05,4000,0.005,0.005,1
713.877551,4e-05,4000,0.005,0.005,1
754.6938776,4e-05,4000,0.005,0.005,1
795.5102041,4e-05,4000,0.005,0.005,1
836.3265306,4e-05,4000,0.005,0.005,1
877.1428571,4e-05,4000,0.005,0.005,1
917.9591837,4e-05,4000,0.005,0.005,1
958.7755102,4e-05,4000,0.005,0.005,1
999.5918367,4e-05,4000,0.005,0.005,1
1040.408163,4e-05,4000,0.005,0.005,1
1081.22449,4e-05,4000,0.005,0.005,1
1122.040816,4e-05,4000,0.005,0.005,1
1162.857143,4e-05,4000,0.005,0.005,1
1203.673469,4e-05,4000,0.005,0.005,1
1244.489796,4e-05,4000,0.005,0.005,1
1285.306122,4e-05,4000,0.005,0.005,1
1326.122449,4e-05,4000,0.005,0.005,1
1366.938776,4e-05,4000,0.005,0.005,1
1407.755102,4e-05,4000,0.005,0.005,1
1448.571429,4e-05,4000,0.005,0.005,1
1489.387755,4e-05,4000,0.005,0.005,1
1530.204082,4e-05,4000,0.005,0.005,1
1571.020408,4e-05,4000,0.005,0.005,1
1611.836735,4e-05,4000,0.005,0.005,1
1652.653061,4e-05,4000,0.005,0.005,1
1693.469388,4e-05,4000,0.005,0.005,1
1734.285714,4e-05,4000,0.005,0.005,1
1775.102041,4e-05,4000,0.005,0.005,1
1815.918367,4e-05,4000,0.005,0.005,1
1856.734694,4e-05,4000,0.005,0.005,1
1897.55102,4e-05,4000,0.005,0.005,1
1938.367347,4e-05,4000,0.005,0.005,1
1979.183673,4e-05,4000,0.005,0.005,1
2020.0,4e-05,4000,0.005,0.005,1
